"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 03, 2018","957.09998","923.20001","999.00000","845.00000","215.55K","3.66"
"Feb 02, 2018","923.29999","1,036.19995","1,038.69995","769.98999","520.79K","-10.90"
"Feb 01, 2018","1,036.30005","1,120.69995","1,167.00000","985.01001","285.60K","-7.58"
"Jan 31, 2018","1,121.30005","1,076.80005","1,128.69995","1,027.80005","136.70K","4.21"
"Jan 30, 2018","1,076.00000","1,174.30005","1,178.80005","1,041.00000","246.88K","-8.43"
"Jan 29, 2018","1,175.00000","1,245.50000","1,259.80005","1,155.90002","139.56K","-5.74"
"Jan 28, 2018","1,246.59998","1,114.69995","1,264.80005","1,109.00000","189.36K","11.82"
"Jan 27, 2018","1,114.80005","1,046.90002","1,125.30005","1,031.59998","105.76K","6.48"
"Jan 26, 2018","1,047.00000","1,048.19995","1,078.59998","983.00000","138.71K","-0.11"
"Jan 25, 2018","1,048.19995","1,061.80005","1,102.40002","1,025.09998","162.09K","-1.41"
"Jan 24, 2018","1,063.19995","982.10999","1,068.80005","952.03998","173.18K","8.16"
"Jan 23, 2018","982.97998","995.26001","1,022.00000","905.38000","228.08K","-1.22"
"Jan 22, 2018","995.08002","1,047.00000","1,084.09998","912.76001","238.82K","-4.96"
"Jan 21, 2018","1,047.00000","1,146.30005","1,146.30005","1,001.50000","197.63K","-8.64"
"Jan 20, 2018","1,146.00000","1,032.59998","1,160.00000","1,029.59998","163.86K","10.98"
"Jan 19, 2018","1,032.59998","993.91998","1,079.00000","960.09998","174.91K","3.80"
"Jan 18, 2018","994.81000","1,020.09998","1,079.00000","940.00000","374.07K","-2.23"
"Jan 17, 2018","1,017.50000","1,019.59998","1,088.30005","770.09998","686.58K","-0.25"
"Jan 16, 2018","1,020.09998","1,275.80005","1,278.80005","868.97998","672.02K","-19.89"
"Jan 15, 2018","1,273.40002","1,349.90002","1,377.90002","1,264.40002","137.68K","-5.67"
"Jan 14, 2018","1,350.00000","1,379.90002","1,385.00000","1,256.00000","176.75K","-2.17"
"Jan 13, 2018","1,380.00000","1,257.00000","1,423.19995","1,252.59998","202.78K","9.77"
"Jan 12, 2018","1,257.19995","1,135.09998","1,285.00000","1,083.40002","209.24K","10.72"
"Jan 11, 2018","1,135.50000","1,245.90002","1,331.80005","1,102.50000","360.57K","-9.01"
"Jan 10, 2018","1,248.00000","1,285.69995","1,381.90002","1,203.19995","380.43K","-2.78"
"Jan 09, 2018","1,283.69995","1,129.40002","1,299.00000","1,119.09998","296.90K","13.67"
"Jan 08, 2018","1,129.30005","1,115.90002","1,225.00000","968.12000","439.43K","1.21"
"Jan 07, 2018","1,115.80005","1,004.29999","1,116.00000","999.50000","199.83K","11.10"
"Jan 06, 2018","1,004.29999","962.77002","1,014.20001","951.38000","127.79K","4.31"
"Jan 05, 2018","962.77002","939.29999","1,023.59998","930.00000","298.24K","2.42"
"Jan 04, 2018","940.00000","942.01001","997.00000","893.23999","348.62K","-0.21"
"Jan 03, 2018","942.01001","858.78003","954.72998","840.00000","310.54K","9.69"
"Jan 02, 2018","858.78003","752.46002","890.00000","752.46002","420.96K","14.13"
"Jan 01, 2018","752.46002","736.77002","762.00000","717.94000","121.56K","2.13"
"Dec 31, 2017","736.77002","682.21997","741.98999","675.56000","153.38K","8.00"
"Dec 30, 2017","682.21997","731.52002","737.56000","640.42999","267.70K","-6.74"
"Dec 29, 2017","731.52002","711.41998","755.00000","703.02002","204.82K","2.83"
"Dec 28, 2017","711.41998","736.45001","740.29999","652.00000","255.38K","-3.40"
"Dec 27, 2017","736.45001","749.79999","766.06000","703.27002","167.81K","-1.78"
"Dec 26, 2017","749.79999","709.81000","749.79999","708.83002","149.07K","5.63"
"Dec 25, 2017","709.81000","659.89001","737.00000","651.76001","218.49K","7.56"
"Dec 24, 2017","659.89001","672.59003","675.00000","560.00000","312.62K","-1.89"
"Dec 23, 2017","672.59003","628.19000","717.00000","616.19000","240.69K","7.07"
"Dec 22, 2017","628.19000","786.96997","792.00000","492.01001","780.15K","-20.18"
"Dec 21, 2017","786.96997","794.98999","848.08002","747.09998","341.95K","-1.01"
"Dec 20, 2017","794.98999","799.97998","826.20001","709.00000","423.20K","-0.62"
"Dec 19, 2017","799.97998","783.98999","863.00000","750.01001","518.29K","2.04"
"Dec 18, 2017","783.98999","708.78003","798.90002","660.00000","420.29K","10.61"
"Dec 17, 2017","708.78003","683.25000","725.00000","683.23999","210.62K","3.74"
"Dec 16, 2017","683.25000","678.28998","711.96002","672.51001","200.94K","0.73"
"Dec 15, 2017","678.28998","686.51001","698.31000","610.00000","360.05K","-1.20"
"Dec 14, 2017","686.51001","690.69000","760.00000","651.00000","494.41K","-0.61"
"Dec 13, 2017","690.69000","634.87000","742.00000","573.00000","686.14K","8.79"
"Dec 12, 2017","634.87000","515.25000","646.91998","497.75000","425.21K","23.22"
"Dec 11, 2017","515.25000","429.23999","531.20001","429.14001","224.21K","20.04"
"Dec 10, 2017","429.23999","460.92001","460.92001","413.29999","250.23K","-6.87"
"Dec 09, 2017","460.92001","442.19000","487.79999","441.00000","322.50K","4.24"
"Dec 08, 2017","442.19000","415.01999","453.60999","400.34000","318.98K","6.55"
"Dec 07, 2017","415.01999","413.70999","429.00000","390.00000","322.00K","0.32"
"Dec 06, 2017","413.70999","451.87000","454.23001","403.00000","367.19K","-8.44"
"Dec 05, 2017","451.87000","465.00000","467.38000","444.17001","187.53K","-2.82"
"Dec 04, 2017","465.00000","459.48999","471.06000","439.26999","123.19K","1.20"
"Dec 03, 2017","459.48999","455.51001","482.69000","431.04001","137.97K","0.87"
"Dec 02, 2017","455.51001","460.67001","472.00000","447.00000","135.33K","-1.12"
"Dec 01, 2017","460.67001","432.20999","467.00000","413.95999","169.74K","6.58"
"Nov 30, 2017","432.20999","420.34000","454.95001","385.39999","224.57K","2.82"
"Nov 29, 2017","420.34000","465.56000","517.00000","403.01001","228.93K","-9.71"
"Nov 28, 2017","465.56000","473.44000","479.00000","457.20001","153.81K","-1.66"
"Nov 27, 2017","473.44000","464.00000","491.89001","458.25000","191.77K","2.03"
"Nov 26, 2017","464.00000","464.00000","464.00000","464.00000","0","0.00"
"Nov 25, 2017","464.00000","469.89001","481.98999","454.39999","168.49K","-1.38"
"Nov 24, 2017","470.51001","405.19000","478.50000","397.37000","258.20K","16.12"
"Nov 23, 2017","405.19000","380.48001","426.26999","374.34000","264.29K","6.49"
"Nov 22, 2017","380.48001","360.00000","381.89001","358.79999","138.90K","5.69"
"Nov 21, 2017","360.00000","367.94000","373.50000","350.00000","199.14K","-2.16"
"Nov 20, 2017","367.94000","354.70001","373.70001","352.03000","148.45K","3.73"
"Nov 19, 2017","354.70001","346.67999","371.00000","343.28000","176.58K","2.31"
"Nov 18, 2017","346.67999","331.00000","350.39999","325.32001","148.23K","4.74"
"Nov 17, 2017","331.00000","331.16000","335.01001","325.00000","151.63K","0.07"
"Nov 16, 2017","330.76001","330.59000","335.10999","321.17999","149.13K","0.05"
"Nov 15, 2017","330.59000","334.28000","339.60999","321.50000","167.05K","-1.10"
"Nov 14, 2017","334.28000","313.22000","336.69000","313.22000","244.03K","6.72"
"Nov 13, 2017","313.22000","303.89999","318.00000","302.39999","198.96K","3.07"
"Nov 12, 2017","303.89999","313.07001","316.98999","293.32999","251.26K","-2.93"
"Nov 11, 2017","313.07001","296.17999","319.88000","294.70001","172.77K","5.70"
"Nov 10, 2017","296.17999","319.51999","324.03000","286.00000","331.44K","-7.30"
"Nov 09, 2017","319.51999","307.50000","328.79999","305.00000","251.77K","3.91"
"Nov 08, 2017","307.50000","291.42001","318.89999","290.10999","335.69K","5.52"
"Nov 07, 2017","291.42001","296.89999","304.20001","285.01001","216.51K","-1.85"
"Nov 06, 2017","296.89999","295.63000","310.00000","292.00000","159.37K","0.43"
"Nov 05, 2017","295.63000","299.48001","301.00000","292.28000","98.63K","-1.29"
"Nov 04, 2017","299.48001","303.47000","304.38000","293.00000","132.54K","-1.31"
"Nov 03, 2017","303.47000","284.89001","307.35999","284.00000","217.42K","6.52"
"Nov 02, 2017","284.89001","288.60001","293.01001","275.20999","260.22K","-1.29"
"Nov 01, 2017","288.60001","303.69000","305.10999","287.04001","153.84K","-4.97"
"Oct 31, 2017","303.69000","307.00000","312.00000","303.10001","81.66K","-1.08"
"Oct 30, 2017","307.00000","304.39001","314.39999","303.92999","86.21K","0.86"
"Oct 29, 2017","304.39001","293.48999","312.48999","290.50000","166.62K","3.71"
"Oct 28, 2017","293.48999","295.98999","297.01001","288.60001","70.22K","-0.84"
"Oct 27, 2017","295.98999","295.10001","299.50000","291.60001","68.47K","0.30"
"Oct 26, 2017","295.10001","295.45999","299.00000","290.54999","59.36K","-0.12"
"Oct 25, 2017","295.45999","296.29999","300.00000","288.50000","94.09K","-0.28"
